date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:46	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.nisb.in/assets/cores23-24/Antriksh	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/cores23-24/Antriksh	(from https://www.nisb.in/content.html)
19:08:46	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.nisb.in/assets/cores23-24/Namratha	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/cores23-24/Namratha	(from https://www.nisb.in/content.html)
19:08:46	262048/262048	---M--	200	added ('OK')	image/jpeg	etag:%2265ae38cd-3ffa0%22	https://www.nisb.in/assets/cores23-24/sahana11.jpg	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/cores23-24/sahana11.jpg	(from https://www.nisb.in/content.html)
19:08:47	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.nisb.in/assets/cores23-24/Deepashree	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/cores23-24/Deepashree	(from https://www.nisb.in/content.html)
19:08:47	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.nisb.in/assets/cores23-24/Ananya	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/cores23-24/Ananya	(from https://www.nisb.in/content.html)
19:08:47	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://www.nisb.in/assets/cores23-24/Afreen	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/cores23-24/Afreen	(from https://www.nisb.in/content.html)
19:08:48	93581/93581	---M--	200	added ('OK')	image/jpeg	etag:%2265ae38cd-16d8d%22	https://www.nisb.in/assets/cores23-24/nandagopal2.jpg	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/cores23-24/nandagopal2.jpg	(from https://www.nisb.in/content.html)
19:08:49	2816399/2816399	---M--	200	added ('OK')	image/jpeg	etag:%2265ae38cd-2af98f%22	https://www.nisb.in/assets/cores23-24/Nameesh.jpg	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/cores23-24/Nameesh.jpg	(from https://www.nisb.in/content.html)
19:08:49	454342/454342	---M--	200	added ('OK')	image/png	etag:%2265ae38cd-6eec6%22	https://www.nisb.in/assets/images/wie.png	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/images/wie.png	(from https://www.nisb.in/content.html)
19:08:49	16114/16114	---M--	200	added ('OK')	image/png	etag:%2265ae38cd-3ef2%22	https://www.nisb.in/assets/images/cs.png	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/images/cs.png	(from https://www.nisb.in/content.html)
19:08:49	20425/20425	---M--	200	added ('OK')	image/png	etag:%2265ae38cd-4fc9%22	https://www.nisb.in/assets/images/cas.png	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/images/cas.png	(from https://www.nisb.in/content.html)
19:08:49	20302/20302	---M--	200	added ('OK')	image/png	etag:%2265ae38cd-4f4e%22	https://www.nisb.in/assets/images/ras.png	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/images/ras.png	(from https://www.nisb.in/content.html)
19:08:50	29142/29142	---M--	200	added ('OK')	image/png	etag:%2265ae38cd-71d6%22	https://www.nisb.in/assets/images/grss.png	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/assets/images/grss.png	(from https://www.nisb.in/content.html)
19:08:50	51/51	---MCZ	302	error ('Found')	text/plain	date:Mon,%2022%20Jan%202024%2013:38:48%20GMT	https://unpkg.com/aos@next/dist/aos.js	C:/My%20Web%20Sites/ieee_lakshin/unpkg.com/aos@next/dist/aos.js	(from https://www.nisb.in/content.html)
19:08:50	13800/13800	---MCZ	200	added ('OK')	application/javascript	etag:%2235e8-44lQwbzmXp8EjjBbNWf/kKDJI+M%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.js	C:/My%20Web%20Sites/ieee_lakshin/unpkg.com/aos@3.0.0-beta.6/dist/aos.js	(from https://www.nisb.in/content.html)
19:08:50	35304/35304	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265ae38cd-89e8%22	https://www.nisb.in/nisbevents-export.js	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/nisbevents-export.js	(from https://www.nisb.in/content.html)
19:08:51	18838/18838	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-4996%22	https://cdnjs.cloudflare.com/ajax/libs/PapaParse/5.1.0/papaparse.min.js	C:/My%20Web%20Sites/ieee_lakshin/cdnjs.cloudflare.com/ajax/libs/PapaParse/5.1.0/papaparse.min.js	(from https://www.nisb.in/content.html)
19:08:51	4144/4144	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265ae38cd-1030%22	https://www.nisb.in/js/firebase-content.js	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/js/firebase-content.js	(from https://www.nisb.in/content.html)
19:08:51	1309/1309	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265ae38cd-51d%22	https://www.nisb.in/js/timer-hero.js	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/js/timer-hero.js	(from https://www.nisb.in/content.html)
19:08:52	1301/1301	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265ae38cd-515%22	https://www.nisb.in/js/timer-top.js	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/js/timer-top.js	(from https://www.nisb.in/content.html)
19:08:52	518/518	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265ae38cd-206%22	https://www.nisb.in/js/announcement.js	C:/My%20Web%20Sites/ieee_lakshin/www.nisb.in/js/announcement.js	(from https://www.nisb.in/content.html)
